profile,seed_range,corpus_count,scenario_cells,seeded_runs,final_earned_one_events,raw_expression_pressure,raw_false_one_pressure,false_one_demoted_count,final_false_one_crowns,latent_overcrown_pressure,latent_overcrown_demoted_count,expresser_candidate_count,earned_expresser_candidate_count,trap_candidate_count,trap_final_crown_count,corpora_passed,corpora_hold,corpora_failed,proof_status,proof_claim,next_action,proof_dir
wide243,0-8,3,729,6561,11371,13771,1206,1206,0,1194,1194,12,11,42,0,3,0,0,proof_record_candidate,Final +1 belongs only to earned-one; false-one pressure was named and fully demoted across the trinary adversarial harness.,rerun the same harness on fresh seeds 9-17 without code mutation,/mnt/data/proof_v1_test/a
wide243,9-17,3,729,6561,10760,13190,1182,1182,0,1248,1248,12,11,42,0,3,0,0,proof_record_candidate,Final +1 belongs only to earned-one; false-one pressure was named and fully demoted across the trinary adversarial harness.,rerun the same harness on fresh seeds 9-17 without code mutation,/mnt/data/proof_v1_test/b
